PD,Score,Risk,Decision
0.10969664848576823,704.6921716934652,Medium Risk,Manual Review
0.1167858585240782,701.1612849122814,Medium Risk,Manual Review
0.22039850462023922,663.1672796678837,Medium Risk,Manual Review
0.0964126728215215,711.8867552950751,Medium Risk,Manual Review
0.02755983011963592,778.1724634759341,Low Risk,Approve
0.20043603542240424,669.1785682138371,Medium Risk,Manual Review
0.1314747528853221,694.3990907566888,Medium Risk,Manual Review
0.15382949140883542,685.2438047861995,Medium Risk,Manual Review
0.07596328135968002,724.925086305398,Medium Risk,Manual Review
0.1947451625956658,670.9733475064922,Medium Risk,Manual Review
0.33512510339978296,634.2547496223913,High Risk,Reject
0.07866586155410125,723.0306744125801,Medium Risk,Manual Review
0.07365881970052662,726.5899362380533,Medium Risk,Manual Review
0.17409635825512007,677.8434590612106,Medium Risk,Manual Review
0.2022934079946068,668.6010846150639,Medium Risk,Manual Review
0.44233175633620264,611.5852029842061,High Risk,Reject
0.015323681437726654,808.1456769201538,Low Risk,Approve
0.35245138187367253,630.4140593843468,High Risk,Reject
0.17903919623911277,676.1435305485365,Medium Risk,Manual Review
0.16744114845625166,680.1935987437331,Medium Risk,Manual Review
0.15168156275260994,686.0736369757118,Medium Risk,Manual Review
0.10527892387767879,706.994938845702,Medium Risk,Manual Review
0.1721825455564066,678.5118719518073,Medium Risk,Manual Review
0.2546087263165625,653.7090659968154,Medium Risk,Manual Review
0.06296056215411958,735.0108419008209,Medium Risk,Manual Review
0.23515067229169764,658.9726194903022,Medium Risk,Manual Review
0.09790760187969721,711.0346377899887,Medium Risk,Manual Review
0.0516456936214908,745.5160678702114,Medium Risk,Manual Review
0.6627640711449463,566.2181847317045,High Risk,Reject
0.24721370570042814,655.6764106994913,Medium Risk,Manual Review
0.06770088682349618,731.1277210467752,Medium Risk,Manual Review
0.19746914736111532,670.1093971837986,Medium Risk,Manual Review
0.6387811091805288,571.4961138394937,High Risk,Reject
0.2154283885488929,664.6254650163135,Medium Risk,Manual Review
0.18854158140499333,672.975728594689,Medium Risk,Manual Review
0.13425960048702057,693.1904925583666,Medium Risk,Manual Review
0.10023482192314374,709.7309081785648,Medium Risk,Manual Review
0.19018469222100703,672.4405271123214,Medium Risk,Manual Review
0.042029809582637356,756.3218771258025,Low Risk,Approve
0.45809594171840967,608.400516480964,High Risk,Reject
0.11752252592857483,700.8051619054766,Medium Risk,Manual Review
0.5284052302229174,594.3128303698292,High Risk,Reject
0.23356743310100495,659.4137945478942,Medium Risk,Manual Review
0.22574400162582872,661.6250472542736,Medium Risk,Manual Review
0.22946192239996083,660.5675986305346,Medium Risk,Manual Review
0.20888190076194288,666.5839118104174,Medium Risk,Manual Review
0.10456166195479252,707.3768198810965,Medium Risk,Manual Review
0.5265219388790984,594.6906289065397,High Risk,Reject
0.16574382155677314,680.8048585446854,Medium Risk,Manual Review
0.21439726704461687,664.9310276862527,Medium Risk,Manual Review
0.3025897311858452,641.7497996527368,High Risk,Reject
0.045908974072091345,751.7049235202966,Low Risk,Approve
0.8510108362991247,512.8724357181088,High Risk,Reject
0.5611013557071398,587.7183474450527,High Risk,Reject
0.11532306109508274,701.8742560402728,Medium Risk,Manual Review
0.2040307570423698,668.0644896651132,Medium Risk,Manual Review
0.268691215549526,650.0636480814882,Medium Risk,Manual Review
0.1381033114374599,691.5566686974927,Medium Risk,Manual Review
0.03189370558094212,770.6466608211445,Low Risk,Approve
0.6140819050705296,576.7748421258281,High Risk,Reject
0.12386270524545825,697.8174535700555,Medium Risk,Manual Review
0.5139062228082063,597.2180379779977,High Risk,Reject
0.34889333121891214,631.1953624121162,High Risk,Reject
0.060772106546778074,736.8963618996804,Medium Risk,Manual Review
0.046587444680497185,750.9358317153154,Low Risk,Approve
0.10259663311222998,708.4350164415955,Medium Risk,Manual Review
0.2736003173048897,648.8216022490383,High Risk,Reject
0.9077112578513904,485.69979168903615,High Risk,Reject
0.18482147721989997,674.2008382216275,Medium Risk,Manual Review
0.0694154607153513,729.7851652993007,Medium Risk,Manual Review
